frame_number	 sync_in1	 sync_in2	 time_stamp
654	 1	 1	 32.7024140358
655	 1	 1	 32.7524299622
656	 1	 1	 32.802437067
657	 1	 1	 32.852437973
658	 1	 1	 32.9024431705
659	 1	 1	 32.9524481297
660	 1	 1	 33.0024521351
661	 1	 1	 33.0524570942
662	 1	 1	 33.1024911404
663	 1	 1	 33.152474165
664	 0	 1	 33.2024710178
665	 1	 1	 33.2524781227
666	 1	 1	 33.3024771214
667	 1	 1	 33.3524861336
668	 1	 1	 33.402490139
669	 1	 1	 33.452491045
670	 1	 1	 33.5024900436
671	 1	 1	 33.5525009632
672	 1	 1	 33.6025071144
673	 1	 1	 33.6525111198
674	 1	 1	 33.7025060654
675	 1	 1	 33.7525291443
676	 1	 1	 33.8025281429
677	 0	 1	 33.852533102
678	 1	 1	 33.9025349617
679	 1	 1	 33.9525401592
680	 1	 1	 34.0025391579
681	 1	 1	 34.0525481701
682	 1	 1	 34.1025559902
683	 1	 1	 34.1525611877
684	 1	 1	 34.2025561333
685	 1	 1	 34.2525730133
686	 1	 1	 34.3025770187
687	 1	 1	 34.352586031
688	 1	 1	 34.4025790691
689	 1	 1	 34.4525961876
690	 0	 1	 34.5025939941
691	 1	 1	 34.5526051521
692	 1	 1	 34.6025919914
693	 1	 1	 34.6526100636
694	 1	 1	 34.7026090622
695	 1	 1	 34.7526211739
696	 1	 1	 34.8026080132
697	 1	 1	 34.8526279926
698	 1	 1	 34.9026210308
699	 1	 1	 34.9526381493
700	 1	 1	 35.0026381016
701	 1	 1	 35.0526430607
702	 1	 1	 35.102656126
703	 0	 1	 35.1526420116
704	 1	 1	 35.2026519775
705	 1	 1	 35.2526640892
706	 1	 1	 35.3026630878
707	 1	 1	 35.3526661396
708	 1	 1	 35.4026751518
709	 1	 1	 35.4526801109
710	 1	 1	 35.5026831627
711	 1	 1	 35.5526881218
712	 1	 1	 35.6026940346
713	 1	 1	 35.6526970863
714	 1	 1	 35.7027001381
715	 1	 1	 35.7527010441
716	 1	 1	 35.8027150631
717	 1	 1	 35.8527200222
718	 1	 1	 35.902723074
719	 1	 1	 35.9527351856
720	 1	 1	 36.002737999
721	 1	 1	 36.0528600216
722	 1	 1	 36.1027600765
723	 1	 1	 36.1527540684
724	 1	 1	 36.2027630806
725	 1	 1	 36.2527601719
726	 1	 1	 36.3027579784
727	 1	 1	 36.3527700901
728	 1	 1	 36.4027750492
729	 1	 1	 36.4527730942
730	 1	 1	 36.5027720928
731	 1	 1	 36.5527880192
732	 1	 1	 36.6027829647
733	 1	 1	 36.6527900696
734	 1	 1	 36.7027881145
735	 1	 1	 36.7527971268
736	 1	 1	 36.8028011322
737	 1	 1	 36.8528079987
738	 1	 1	 36.9028129578
739	 1	 1	 36.9528269768
740	 1	 1	 37.0028231144
741	 1	 1	 37.0528171062
742	 1	 1	 37.1028320789
743	 1	 1	 37.1528379917
744	 1	 1	 37.2028391361
745	 1	 1	 37.2528390884
746	 1	 1	 37.3028481007
747	 1	 1	 37.3528549671
748	 1	 1	 37.4028630257
749	 1	 1	 37.4528610706
750	 1	 1	 37.5028719902
751	 1	 1	 37.552875042
752	 1	 1	 37.6028850079
753	 1	 1	 37.6528761387
754	 1	 1	 37.7028889656
755	 1	 1	 37.7528979778
756	 1	 1	 37.8028960228
757	 1	 1	 37.8528921604
758	 1	 1	 37.9029049873
759	 1	 1	 37.9528989792
760	 1	 1	 38.002918005
761	 1	 1	 38.0529201031
762	 1	 1	 38.1029231548
763	 1	 1	 38.152919054
764	 1	 1	 38.202933073
765	 1	 1	 38.2529330254
766	 1	 1	 38.3029441833
767	 1	 1	 38.3529369831
768	 1	 1	 38.4029510021
769	 1	 1	 38.4529559612
770	 1	 1	 38.5029630661
771	 1	 1	 38.5529589653
772	 1	 1	 38.6029691696
773	 1	 1	 38.6529841423
774	 1	 1	 38.7029781342
775	 1	 1	 38.752974987
776	 1	 1	 38.8029880524
777	 1	 1	 38.8529951572
778	 1	 1	 38.9029970169
779	 1	 1	 38.9530100822
780	 1	 1	 39.0030140877
781	 1	 1	 39.0530371666
782	 1	 1	 39.1030170918
783	 1	 1	 39.1530230045
784	 1	 1	 39.2030191422
785	 1	 1	 39.2530341148
786	 1	 1	 39.3030250072
787	 1	 1	 39.3530330658
788	 1	 1	 39.4030480385
789	 1	 1	 39.4530510902
790	 1	 1	 39.5030629635
791	 1	 1	 39.5530591011
792	 1	 1	 39.6030571461
793	 1	 1	 39.6530640125
794	 1	 1	 39.7030739784
795	 1	 1	 39.7530651093
796	 1	 1	 39.8030819893
797	 1	 1	 39.8530871868
798	 1	 1	 39.9030940533
799	 1	 1	 39.9530980587
800	 1	 1	 40.0030989647
801	 1	 1	 40.0530979633
802	 1	 1	 40.1031110287
803	 1	 1	 40.1531171799
804	 1	 1	 40.2031190395
805	 1	 1	 40.2531170845
806	 1	 1	 40.3031330109
807	 1	 1	 40.3531360626
808	 1	 1	 40.4031410217
809	 1	 1	 40.4531350136
810	 1	 1	 40.5031440258
811	 0	 1	 40.5531561375
812	 1	 1	 40.6031570435
813	 1	 1	 40.6531531811
814	 1	 1	 40.7031669617
815	 1	 1	 40.7531731129
816	 1	 1	 40.8031730652
817	 1	 1	 40.8531711102
818	 1	 1	 40.9031920433
819	 1	 1	 40.9531869888
820	 1	 1	 41.0031831264
821	 1	 1	 41.0531990528
822	 1	 1	 41.1032021046
823	 1	 1	 41.15320611
824	 0	 1	 41.2031991482
825	 1	 1	 41.2532169819
826	 1	 1	 41.30321908
827	 1	 1	 41.3532321453
828	 1	 1	 41.4032230377
829	 1	 1	 41.4532361031
830	 1	 1	 41.5032401085
831	 1	 1	 41.5532460213
832	 1	 1	 41.60323596
833	 1	 1	 41.6532540321
834	 1	 1	 41.703261137
835	 1	 1	 41.7532680035
836	 1	 1	 41.8032660484
837	 0	 1	 41.853274107
838	 1	 1	 41.9032771587
839	 1	 1	 41.9532880783
840	 1	 1	 42.0032939911
841	 1	 1	 42.053385973
842	 1	 1	 42.1047201157
843	 1	 1	 42.1533091068
844	 1	 1	 42.2033109665
845	 1	 1	 42.2533099651
846	 1	 1	 42.3033051491
847	 1	 1	 42.3533160686
848	 1	 1	 42.4033210278
849	 1	 1	 42.4533250332
850	 0	 1	 42.5033330917
851	 1	 1	 42.553330183
852	 1	 1	 42.6033401489
853	 1	 1	 42.6533441544
854	 1	 1	 42.7033510208
855	 1	 1	 42.7533459663
856	 1	 1	 42.8033590317
857	 1	 1	 42.8533651829
858	 1	 1	 42.9033770561
859	 1	 1	 42.9533741474
860	 1	 1	 43.0033781528
861	 1	 1	 43.0533821583
862	 1	 1	 43.1033790112
863	 0	 1	 43.1533870697
864	 1	 1	 43.2034010887
865	 1	 1	 43.2534120083
866	 1	 1	 43.3033971786
867	 1	 1	 43.3534121513
868	 1	 1	 43.4034221172
869	 1	 1	 43.4534170628
870	 1	 1	 43.5034191608
871	 1	 1	 43.5534300804
872	 1	 1	 43.6034331322
